Gene,t_stat,p_value,log2FC,p_adj
CYP2W1,5.006821380492323,6.57081558200731e-06,3.563093125147354,4.558362827928446e-05
TESC,8.889210675637914,2.231792899589555e-12,3.5473515671235,1.5045127979061334e-10
PRSS33,6.023744579279429,3.272841225052262e-07,3.505721917297415,3.4198310026995216e-06
KLK10,8.3752738790025,8.828692028848303e-11,3.44268356620159,3.069357845915033e-09
CPNE7,9.813154481760234,4.322227576487401e-14,3.3486624634262587,6.31175125412561e-12
KRT75,4.3777482043732645,8.291982208627915e-05,3.3096910306962473,0.00041624108710637157
INHBA,9.319673184546122,2.883148345061588e-13,3.306917432477843,2.8178432982095905e-11
LOC102723854,4.639050802531345,2.715750854264053e-05,3.293082806771284,0.00015653683891003278
KRT17,6.509153683907727,1.2532076791225428e-08,3.2577611605901384,2.089596056366506e-07
GDF15,10.86440187143469,1.2387487649036095e-16,3.2503496420876967,6.41408296653069e-14
KLK8,5.27288534996561,4.523057818728421e-06,3.2424609455086295,3.296589849553006e-05
MMP11,10.069321090428483,1.1307385617216211e-14,3.2358154513523316,2.166744380949399e-12
TRIB3,11.519258583192444,1.0520939518683248e-17,3.214074321299151,1.2005863337159511e-14
COMP,5.976513890116781,4.244254811444114e-07,3.199814086457502,4.3036743788043315e-06
TRIM29,9.087234210077126,2.0712379692254168e-13,3.1969071928444537,2.0743064699205654e-11
DEFA5,3.323998748417654,0.0015406400202964993,3.1933720135276333,0.005321932652084544
TNFRSF6B,8.209122582703587,8.476481243235532e-12,3.1906993120377747,4.4172087266676645e-10
PRSS22,9.791461095216912,9.129271360408412e-15,3.185329886975861,1.8827961680245687e-12
CXCL5,7.095635835484792,1.1509176544534613e-09,3.1732580481523867,2.719153870852987e-08
LINC00659,8.028667064172025,4.846011489941431e-10,3.164926426902642,1.328069094810976e-08
ETV4,11.804835252530411,2.6023681695478163e-18,3.142105745474761,4.226974917376858e-15
KLK11,5.702738735378306,6.764329764392475e-07,3.125551822294069,6.432853815797393e-06
ASCL2,6.925072874520649,2.7641187418484165e-09,3.101437332552016,5.7839719433897736e-08
C2CD4A,9.121744625895474,4.255662257358774e-13,3.0914369311583365,3.9832998728878125e-11
ESM1,10.669464860813843,3.101147905100462e-16,3.0797152886123476,1.3892274291605154e-13
LOC100190940,7.572404750671926,8.129659421846125e-10,3.0345558945439923,2.0417274684215405e-08
PRSS3P2,2.9349079449962705,0.004818732183274854,3.0288381783165397,0.014257588621541258
LGR5,7.713700837500301,1.2877019712316698e-10,2.998198523644699,4.26941623595285e-09
SULT2B1,11.234948279994155,5.496603813725595e-17,2.994134578705,3.344133760270652e-14
GYLTL1B,10.10201382194524,6.741016298254433e-15,2.9831669875804376,1.4702730536970733e-12
TACSTD2,4.55514534288951,3.062593222767452e-05,2.948969340995037,0.00017377306754317725
TMEM211,5.806467131901415,5.124131419396964e-07,2.934207853956092,5.057387628311223e-06
SLCO1B3,5.756816029766442,5.643237988399059e-07,2.9224390470721437,5.491157124577349e-06
MMP3,5.957671026447109,8.952780039409638e-08,2.9150990964476398,1.1253866479290958e-06
FAM3B,5.230098613968028,2.0028042718744858e-06,2.9057103451701476,1.6310340739889915e-05
VWA2,10.254363411461664,3.171794632473992e-15,2.888638517759774,8.482285074273303e-13
